test_method,isMysteryGuest
"@Test
    public void testDelete() throws Throwable {
        String admins = project.administratorsUserGroupLinks.iterator().next();
        String members = project.membersUserGroupLinks.iterator().next();
        String viewers = project.viewersUserGroupLinks.iterator().next();
        deleteProject(project);

        // Verify the default UserGroups are deleted
        UserGroupState adminsGroup = getDocumentNoWait(UserGroupState.class, admins);
        assertNull(adminsGroup);

        UserGroupState membersGroups = getDocumentNoWait(UserGroupState.class, members);
        assertNull(membersGroups);

        UserGroupState viewersGroups = getDocumentNoWait(UserGroupState.class, viewers);
        assertNull(viewersGroups);
    }",1
"@Test
    public void testProjectRolesPatchGroups() throws Throwable {
        // verify initial state
        ExpandedProjectState expandedState = getExpandedProjectState(project.documentSelfLink);
        assertNotNull(expandedState.administratorsUserGroupLinks);
        assertNotNull(expandedState.membersUserGroupLinks);
        assertNotNull(expandedState.administrators);
        assertNotNull(expandedState.members);
        assertNotNull(expandedState.viewers);
        assertEquals(1, expandedState.administrators.size());
        assertEquals(1, expandedState.members.size());
        assertEquals(1, expandedState.viewers.size());
        assertEquals(USER_EMAIL_ADMIN, expandedState.administrators.iterator().next().email);
        assertEquals(USER_EMAIL_ADMIN, expandedState.members.iterator().next().email);
        assertEquals(USER_EMAIL_BASIC_USER, expandedState.viewers.iterator().next().email);

        String expectedAdministratorsUserGroupLink = UriUtils.buildUriPath(
                UserGroupService.FACTORY_LINK,
                AuthRole.PROJECT_ADMIN
                        .buildRoleWithSuffix(Service.getId(project.documentSelfLink)));
        String expectedMembersUserGroupLink = UriUtils.buildUriPath(UserGroupService.FACTORY_LINK,
                AuthRole.PROJECT_MEMBER
                        .buildRoleWithSuffix(Service.getId(project.documentSelfLink)));

        assertEquals(expectedAdministratorsUserGroupLink,
                expandedState.administratorsUserGroupLinks.iterator().next());
        assertEquals(expectedMembersUserGroupLink,
                expandedState.membersUserGroupLinks.iterator().next());

        // make a batch user operation: add group
        ProjectRoles projectRoles = new ProjectRoles();
        projectRoles.members = new PrincipalRoleAssignment();
        projectRoles.members.add = Arrays.asList(USER_GROUP_DEVELOPERS);

        // assert that the new role does not exist
        String roleLink = UriUtils.buildUriPath(RoleService.FACTORY_LINK,
                AuthRole.PROJECT_MEMBER.buildRoleWithSuffix(Service.getId(project.documentSelfLink),
                        encode(USER_GROUP_DEVELOPERS)));
        assertDocumentNotExists(roleLink);

        host.testStart(1);

        Operation.createPatch(host, expandedState.documentSelfLink)
                .setReferer(host.getUri())
                .setBody(projectRoles)
                .setCompletion((o, e) -> {
                    if (e != null) {
                        host.log(Level.SEVERE, Utils.toString(e));
                        host.failIteration(e);
                    }",1
"@Test
    public void executeJavaExtSourceAsZIPTest() throws Throwable {
        // Create Closure Definition
        ClosureDescription closureDescState = new ClosureDescription();
        closureDescState.name = ""test"";

        int expectedInVar = 3;
        int expectedInVar2 = 4;
        int expectedResult = 7;

        closureDescState.sourceURL = testWebserverUri + ""/test_script_java.zip"";
        closureDescState.source = ""should not be used"";
        closureDescState.runtime = RUNTIME_JAVA_8;
        closureDescState.entrypoint = ""testpackage.Test.test"";

        ResourceConstraints constraints = new ResourceConstraints();
        constraints.timeoutSeconds = 10;
        constraints.ramMB = 300;
        closureDescState.resources = constraints;

        String taskDefPayload = Utils.toJson(closureDescState);
        ClosureDescription closureDescription = createClosureDescription(taskDefPayload,
                serviceClient);
        assertNotNull(closureDescription);

        // Create Closure
        Closure createdClosure = createClosure(closureDescription, serviceClient);
        assertEquals(closureDescription.documentSelfLink, createdClosure.descriptionLink);
        assertEquals(TaskState.TaskStage.CREATED, createdClosure.state);

        // Execute the created Closure
        Closure closureRequest = new Closure();
        Map inputs = new HashMap<>();
        inputs.put(""a"", new JsonPrimitive(expectedInVar));
        inputs.put(""b"", new JsonPrimitive(expectedInVar2));
        closureRequest.inputs = inputs;

        executeClosure(createdClosure, closureRequest, serviceClient);

        // Wait for the completion timeout
        String imageRequestLink = waitForBuildCompletion(IMAGE_NAME, closureDescription);

        waitForTaskState(createdClosure.documentSelfLink, TaskState.TaskStage.FINISHED,
                serviceClient);

        Closure fetchedClosure = getClosure(createdClosure.documentSelfLink, serviceClient);

        assertEquals(closureDescription.documentSelfLink, fetchedClosure.descriptionLink);
        assertEquals(TaskState.TaskStage.FINISHED, fetchedClosure.state);

        assertEquals(expectedInVar, fetchedClosure.inputs.get(""a"").getAsInt());
        assertEquals(expectedInVar2, fetchedClosure.inputs.get(""b"").getAsInt());
        assertEquals(expectedResult, fetchedClosure.outputs.get(""result"").getAsInt(), 0);

        cleanResource(imageRequestLink, serviceClient);
        cleanResource(createdClosure.documentSelfLink, serviceClient);
        cleanResource(closureDescription.documentSelfLink, serviceClient);
    }",1
"@Test
    public void executePowershellExtSourceAsZIPTest() throws Throwable {
        // Create Closure Definition
        ClosureDescription closureDescState = new ClosureDescription();
        closureDescState.name = ""test"";

        String expectedInVar = ""a"";
        String expectedResult = ""ac"";

        closureDescState.sourceURL = testWebserverUri + ""/test_script_powershell.zip"";
        closureDescState.source = ""should not be used"";
        closureDescState.runtime = RUNTIME_POWERSHELL_6;
        closureDescState.outputNames = new ArrayList<>(Collections.singletonList(""result""));
        ResourceConstraints constraints = new ResourceConstraints();
        constraints.timeoutSeconds = 60;
        constraints.ramMB = 300;
        closureDescState.resources = constraints;

        String taskDefPayload = Utils.toJson(closureDescState);
        ClosureDescription closureDescription = createClosureDescription(taskDefPayload,
                serviceClient);
        assertNotNull(closureDescription);

        // Create Closure
        Closure createdClosure = createClosure(closureDescription, serviceClient);
        assertEquals(closureDescription.documentSelfLink, createdClosure.descriptionLink);
        assertEquals(TaskState.TaskStage.CREATED, createdClosure.state);

        // Execute the created Closure
        Closure closureRequest = new Closure();
        Map inputs = new HashMap<>();
        inputs.put(""a"", new JsonPrimitive(expectedInVar));
        closureRequest.inputs = inputs;

        executeClosure(createdClosure, closureRequest, serviceClient);

        // Wait for the completion timeout
        String imageRequestLink = waitForBuildCompletion(IMAGE_NAME, closureDescription);

        waitForTaskState(createdClosure.documentSelfLink, TaskState.TaskStage.FINISHED,
                serviceClient);

        Closure fetchedClosure = getClosure(createdClosure.documentSelfLink, serviceClient);

        assertEquals(closureDescription.documentSelfLink, fetchedClosure.descriptionLink);
        assertEquals(TaskState.TaskStage.FINISHED, fetchedClosure.state);

        assertEquals(expectedInVar, fetchedClosure.inputs.get(""a"").getAsString());
        assertEquals(expectedResult, fetchedClosure.outputs.get(""result"").getAsString());

        //        cleanResource(imageRequestLink, serviceClient);
        //        cleanResource(createdClosure.documentSelfLink, serviceClient);
        //        cleanResource(closureDescription.documentSelfLink, serviceClient);
    }",1
"@Test
    public void testUntrustedCertificates() throws Exception {

        // Validate a custom certificate.
        // Is should fail as it is signed by untrusted CA
        try {
            trustManager.checkServerTrusted(
                    getCertificates(""/certs/untrusted-server.crt""), ""RSA"");
            fail(""Should not trust untrusted certificate"");
        }",1
"@Test
    public void testShouldUpdateContainerLinksWhenUpdatesToContainers() throws Throwable {
        compositeComponent = createCompositeComponent();
        ContainerState containerState1 = createContainer(compositeComponent.documentSelfLink);

        // add a new container:
        waitFor(() -> {
            compositeComponent = getDocument(CompositeComponent.class,
                    compositeComponent.documentSelfLink);
            if (compositeComponent.componentLinks == null
                    || compositeComponent.componentLinks.isEmpty()) {
                return false;
            }",1
"@Test
    public void testCloneCompositeDescriptionWithTwoContainers() throws Throwable {
        initObjectsWithTwoContainers();

        CompositeDescription clonedCompositeDesc = cloneCompositeDesc(
                createdCompositeWithTwoContainers, false);

        checkCompositeForEquality(createdCompositeWithTwoContainers, clonedCompositeDesc, false);

        List<String> containerDescriptions = clonedCompositeDesc.descriptionLinks;

        ContainerDescription clonedFirstContainer = getDocument(ContainerDescription.class,
                containerDescriptions.get(0));
        checkContainersForЕquality(createdFirstContainer, clonedFirstContainer, false);

        ContainerDescription clonedSecondContainer = getDocument(ContainerDescription.class,
                containerDescriptions.get(1));
        checkContainersForЕquality(createdSecondContainer, clonedSecondContainer, false);
    }",1
"@Test
    public void testPutExpanded() throws Throwable {
        ContainerDescription container = new ContainerDescription();
        container.name = ""container"";
        container.image = ""registry.hub.docker.com/kitematic/hello-world-nginx"";
        container = doPost(container, ContainerDescriptionService.FACTORY_LINK);

        ComponentDescription containerComponent = new ComponentDescription();
        containerComponent.name = ""container"";
        container.name = ""updated"";
        containerComponent.updateServiceDocument(container);
        containerComponent.type = ResourceType.CONTAINER_TYPE.getContentType();

        CompositeDescription cd = new CompositeDescription();
        cd.name = ""testComposite"";
        cd = doPost(cd, CompositeDescriptionFactoryService.SELF_LINK);

        // Make PUT but as expanded state, so that components are also updated
        CompositeDescriptionExpanded cdUpdate = new CompositeDescriptionExpanded();
        cdUpdate.documentSelfLink = cd.documentSelfLink;
        cdUpdate.name = cd.name;
        cdUpdate.componentDescriptions = new ArrayList<>();
        cdUpdate.componentDescriptions.add(containerComponent);
        cdUpdate = doPut(cdUpdate);

        // Explicitly search for document to validate that the list returns the right document kind
        CompositeDescription foundCd = searchForDocument(CompositeDescription.class,
                cd.documentSelfLink);
        assertEquals(Utils.buildKind(CompositeDescription.class), foundCd.documentKind);

        container = getDocument(ContainerDescription.class, container.documentSelfLink);
        assertEquals(""updated"", container.name);
    }",1
"@Test
    public void testTenantsLinksInCompositeDescriptionEmbedded() throws Throwable {

        testTenantsLinksInCompositeDescription(true);
    }",1
"@Test
    public void testTenantsLinksInCompositeDescriptionNotEmbedded() throws Throwable {

        testTenantsLinksInCompositeDescription(false);
    }",1
"@Test
    public void testContainersCountOnHostWithContainersNoSystem() throws Throwable {
        String hostId = UUID.randomUUID().toString();
        String hostLink = UriUtils.buildUriPath(ComputeService.FACTORY_LINK, hostId);
        // add preexisting container
        addContainerToMockAdapter(hostLink, preexistingContainerId, preexistingContainerNames);

        ComputeDescription hostDescription = createComputeDescription();
        hostDescription = doPost(hostDescription, ComputeDescriptionService.FACTORY_LINK);

        ComputeState cs = createComputeState(hostId, hostDescription);

        cs = doPost(cs, ComputeService.FACTORY_LINK);

        ContainerState containerState = new ContainerState();
        containerState.id = UUID.randomUUID().toString();
        containerState.names = containerNames;
        containerState.parentLink = UriUtils.buildUriPath(
                ComputeService.FACTORY_LINK,
                hostId);
        containerState.powerState = PowerState.STOPPED;
        containerState = doPost(containerState, ContainerFactoryService.SELF_LINK);
        addContainerToMockAdapter(hostLink, containerState.id, containerState.names);

        doOperation(new ContainerHostDataCollectionState(), UriUtils.buildUri(host,
                ContainerHostDataCollectionService.HOST_INFO_DATA_COLLECTION_LINK),
                false,
                Service.Action.PATCH);

        String csLink = cs.documentSelfLink;
        waitFor(() -> {
            ComputeState computeState = getDocument(ComputeState.class, csLink);
            String containers = computeState.customProperties == null ? null
                    : computeState.customProperties
                            .get(ContainerHostService.NUMBER_OF_CONTAINERS_PER_HOST_PROP_NAME);
            String systemContainers = computeState.customProperties == null ? null
                    : computeState.customProperties
                            .get(ContainerHostService.NUMBER_OF_SYSTEM_CONTAINERS_PROP_NAME);
            //the test container created above and the missing container coming from the host.
            host.log(""testContainersCountOnHostWithContainer - countainer count: %s"", containers);
            return ""2"".equals(containers) && ""0"".equals(systemContainers);
        }",1
"@Test
    public void testContainersCountSystemAndNotSystem() throws Throwable {
        String hostId = UUID.randomUUID().toString();
        String hostLink = UriUtils.buildUriPath(ComputeService.FACTORY_LINK, hostId);
        // add preexisting container
        addContainerToMockAdapter(hostLink, preexistingContainerId, preexistingContainerNames);

        ComputeDescription hostDescription = createComputeDescription();
        hostDescription = doPost(hostDescription, ComputeDescriptionService.FACTORY_LINK);

        ComputeState cs = createComputeState(hostId, hostDescription);

        cs = doPost(cs, ComputeService.FACTORY_LINK);

        ContainerState containerState = new ContainerState();
        containerState.id = UUID.randomUUID().toString();
        containerState.names = containerNames;
        containerState.parentLink = UriUtils.buildUriPath(
                ComputeService.FACTORY_LINK, hostId);
        containerState.powerState = PowerState.STOPPED;
        containerState.system = Boolean.TRUE;
        containerState = doPost(containerState, ContainerFactoryService.SELF_LINK);
        addContainerToMockAdapter(hostLink, containerState.id, containerState.names);

        doOperation(new ContainerHostDataCollectionState(), UriUtils.buildUri(host,
                ContainerHostDataCollectionService.HOST_INFO_DATA_COLLECTION_LINK),
                false,
                Service.Action.PATCH);

        String csLink = cs.documentSelfLink;
        waitFor(() -> {
            ComputeState computeState = getDocument(ComputeState.class, csLink);
            String containers = computeState.customProperties == null ? null
                    : computeState.customProperties
                            .get(ContainerHostService.NUMBER_OF_CONTAINERS_PER_HOST_PROP_NAME);
            String systemContainers = computeState.customProperties == null ? null
                    : computeState.customProperties
                            .get(ContainerHostService.NUMBER_OF_SYSTEM_CONTAINERS_PROP_NAME);
            // the test container created above and the missing container coming from the host.
            host.log(""testContainersCountOnHostWithContainer - countainer count: %s"", containers);
            return ""2"".equals(containers) && ""1"".equals(systemContainers);
        }",1
