test_method,isRedundent
"@Test
  public void testFileMoreThanABlockGroup3() throws Exception {
    testOneFile(""/MoreThanABlockGroup3"",
        blockSize * dataBlocks * 3 + cellSize * dataBlocks
        + cellSize + 123);
  }",1
"@Test
  public void testFileMoreThanOneStripe1() throws Exception {
    testOneFile(""/MoreThanOneStripe1"", cellSize * dataBlocks + 123);
  }",1
"@Test
  public void testFileSmallerThanOneCell1() throws Exception {
    testOneFile(""/SmallerThanOneCell"", 1);
  }",1
"@Test
  public void testFileSmallerThanOneCell2() throws Exception {
    testOneFile(""/SmallerThanOneCell"", cellSize - 1);
  }",1
"@Test
  public void testFileSmallerThanOneStripe2() throws Exception {
    testOneFile(""/SmallerThanOneStripe"", cellSize + 123);
  }",1
"@Test
  public void testStreamFlush() throws Exception {
    final byte[] bytes = StripedFileTestUtil.generateBytes(blockSize *
        dataBlocks * 3 + cellSize * dataBlocks + cellSize + 123);
    try (FSDataOutputStream os = fs.create(new Path(""/ec-file-1""))) {
      assertFalse(
          ""DFSStripedOutputStream should not have hflush() capability yet!"",
          os.hasCapability(StreamCapability.HFLUSH.getValue()));
      assertFalse(
          ""DFSStripedOutputStream should not have hsync() capability yet!"",
          os.hasCapability(StreamCapability.HSYNC.getValue()));
      try (InputStream is = new ByteArrayInputStream(bytes)) {
        IOUtils.copyBytes(is, os, bytes.length);
        os.hflush();
        IOUtils.copyBytes(is, os, bytes.length);
        os.hsync();
        IOUtils.copyBytes(is, os, bytes.length);
      }",1
"@Test
  public void testPerQueueDisablePreemptionBroadHierarchical() {
    int[][] qData = new int[][] {
        //  /    A              D              G    
        //            B    C         E    F         H    I
        {1000, 350, 150, 200, 400, 200, 200, 250, 100, 150 }",1
"@Test
  public void testPreemptCycle() {
    int[][] qData = new int[][]{
      //  /   A   B   C
      { 100, 40, 40, 20 }",1
"@Test
  public void testPreemptionNotHappenForSingleReservedQueue() {
    /*
     * Test case to make sure, when reserved > pending, preemption will not
     * happen if there's only one demanding queue.
     */

    int[][] qData = new int[][]{
        //  /   A   B   C
        { 100, 40, 40, 20 }",1
"@Test
  public void testConvertAllocationsToReservationInfoEmptyAllocations() {
    long startTime = new Date().getTime();
    long step = 10000;
    int[] alloc = {}",1
