test_method,detected_smells
"@Test
    public void testNetworkInspect() throws Throwable {
        // Network creation is not direct operation, this means it will take some time.
        while ((MockDockerNetworkService.networksMap == null
                || MockDockerNetworkService.networksMap.isEmpty())
                && NETWORK_LIST_RETRY_COUNT > 0) {
            Thread.sleep(TIME_BETWEEN_RETRIES_IN_MILSEC);
            NETWORK_LIST_RETRY_COUNT--;
        }",Eager Test
"@Test
    public void testGetFromUserResources() throws Throwable {
        Path testXenonImagesPath = Files.createTempDirectory(""test-xenon-images"");

        HostInitCommonServiceConfig.startServices(host);
        waitForServiceAvailability(ConfigurationFactoryService.SELF_LINK);
        waitForServiceAvailability(UriUtils.buildUriPath(UriUtils.buildUriPath(
                ConfigurationFactoryService.SELF_LINK, FileUtil.USER_RESOURCES_PATH_VARIABLE)));

        // Set expected configuration
        ConfigurationState config = new ConfigurationState();
        config.documentSelfLink = UriUtils.buildUriPath(ConfigurationFactoryService.SELF_LINK,
                FileUtil.USER_RESOURCES_PATH_VARIABLE);
        config.key = FileUtil.USER_RESOURCES_PATH_VARIABLE;
        config.value = testXenonImagesPath.toAbsolutePath().toString();

        doPut(config);

        File imageDir = new File(UriUtils.buildUriPath(testXenonImagesPath.toString(),
                SystemImageRetrievalManager.SYSTEM_IMAGES_PATH));
        imageDir.mkdir();

        byte[] content = IOUtils.toByteArray(Thread.currentThread().getContextClassLoader()
                .getResourceAsStream(TEST_IMAGE));
        // Basically, rename it so it must be loaded from user resources for sure
        File tmpFile = new File(
                UriUtils.buildUriPath(imageDir.getAbsolutePath(), TEST_IMAGE_RES));
        tmpFile.createNewFile();
        try (OutputStream os = new FileOutputStream(tmpFile)) {
            os.write(content);
        }",Eager Test + Mystery Guest + Resource Optimism
"@Test
    public void testFilterVolumeBindings() {
        List<String> bindings = DockerAdapterUtils.filterVolumeBindings(null);
        assertEquals(Collections.emptyList(), bindings);

        String[] volumes = new String[] {}",No Smells
"@Test
    public void testConversions() {
        DockerDevice device = DockerDevice.fromString(fullDeviceString);

        // fromString
        verifyDevice(""fromString: "" + description, device);

        // toMap
        Map<String, String> map = device.toMap();
        verifyMap(""toMap: "" + description, map);

        // fromMap
        device = DockerDevice.fromMap(map);
        verifyDevice(""fromMap: "" + description, device);

        // toString
        assertEquals(""toString: "" + description, fullDeviceString, device.toString());
    }",No Smells
"@Test
    public void testDockerPortStringParsing() {
        DockerPortMapping portMapping = DockerPortMapping.fromString(fullPortString);
        assertEquals(description + "": hostIp"", expectedHostIp, portMapping.getHostIp());
        assertEquals(description + "": hostPort"", expectedHostPort, portMapping.getHostPort());
        assertEquals(description + "": containerPort"", expectedContainerPort,
                portMapping.getContainerPort());

        assertEquals(description + "": protocol"", expectedProtocol, portMapping.getProtocol());
    }",No Smells
"@Test
    public void testBuildApiServerProxyUrl() {
        String apiVersionPrefix = ""/api/v1"";
        String namespace = ""test-namespace"";
        String selfLink = ""/services/test"";
        String proxiedPath = ""/test-path"";

        String expected = context.host.address
                + ""/api/v1/namespaces/test-namespace/services/test/proxy/test-path"";
        assertEquals(expected, ApiUtil.buildApiServerProxyUri(context, apiVersionPrefix, namespace,
                selfLink, proxiedPath));
    }",No Smells
"@Test
    public void testDelete() throws Throwable {
        PodState podState = new PodState();
        podState.pod = new Pod();
        podState.pod.spec = new PodSpec();
        podState.pod.spec.containers = new ArrayList<>();
        Container container1 = new Container();
        container1.name = ""container1"";
        container1.image = ""test-image"";
        podState.pod.spec.containers.add(container1);
        podState.pod.metadata = new ObjectMeta();
        podState.pod.metadata.selfLink = ""/api/v1/namespaces/default/pods/test-pod"";
        podState.pod.metadata.name = ""test-pod"";
        podState.parentLink = kubernetesHostState.documentSelfLink;
        podState.kubernetesSelfLink = podState.pod.metadata.selfLink;
        podState = doPost(podState, PodFactoryService.SELF_LINK);

        service.deployedElementsMap.put(""test-pod"", podState.pod);
        assertTrue(service.deployedElementsMap.size() == 1);

        provisioningTaskLink = createProvisioningTask();

        AdapterRequest request = new AdapterRequest();
        request.resourceReference = UriUtils.buildUri(host, podState.documentSelfLink);
        request.serviceTaskCallback = ServiceTaskCallback.create(provisioningTaskLink);
        request.operationTypeId = KubernetesOperationType.DELETE.id;

        doOperation(KubernetesAdapterService.SELF_LINK, request);

        waitForPropertyValue(provisioningTaskLink, MockTaskState.class, ""taskInfo.stage"",
                TaskState.TaskStage.FINISHED);

        final String selfLink = podState.documentSelfLink;
        final long timeoutInMillis = 5000; // 5sec
        long startTime = System.currentTimeMillis();

        waitFor(() -> {
            if (System.currentTimeMillis() - startTime > timeoutInMillis) {
                fail(String.format(""Entity [%s] not deletes within %s ms"", selfLink, timeoutInMillis));
            }",No Smells
"@Test
    public void testFetchLogs() throws Throwable {
        service.containerNamesToLogs.put(""container1"", ""test-log-1"");
        service.containerNamesToLogs.put(""container2"", ""test-log-2"");
        service.containerNamesToLogs.put(""container3"", ""test-log-3"");

        PodState podState = new PodState();
        podState.pod = new Pod();
        podState.pod.spec = new PodSpec();
        podState.pod.spec.containers = new ArrayList<>();
        Container container1 = new Container();
        container1.name = ""container1"";
        Container container2 = new Container();
        container2.name = ""container2"";
        Container container3 = new Container();
        container3.name = ""container3"";
        podState.pod.spec.containers.add(container1);
        podState.pod.spec.containers.add(container2);
        podState.pod.spec.containers.add(container3);
        podState.pod.metadata = new ObjectMeta();
        podState.pod.metadata.selfLink = ""/api/v1/namespaces/default/pods/test-pod"";
        podState.parentLink = kubernetesHostState.documentSelfLink;

        podState = doPost(podState, PodFactoryService.SELF_LINK);

        provisioningTaskLink = createProvisioningTask();

        AdapterRequest request = new AdapterRequest();
        request.resourceReference = UriUtils.buildUri(host, podState.documentSelfLink);
        request.serviceTaskCallback = ServiceTaskCallback.create(provisioningTaskLink);
        request.operationTypeId = KubernetesOperationType.FETCH_LOGS.id;

        doOperation(KubernetesAdapterService.SELF_LINK, request);

        waitForPropertyValue(provisioningTaskLink, MockTaskState.class, ""taskInfo.stage"",
                TaskState.TaskStage.FINISHED);

        for (Container container : podState.pod.spec.containers) {
            LogServiceState logState = getDocument(LogServiceState.class, LogService
                    .FACTORY_LINK + ""/"" + UriUtils.getLastPathSegment(podState.documentSelfLink)
                    + ""-""
                    + container.name);
            assertEquals(service.containerNamesToLogs.get(container.name), new String(logState
                    .logs, ""UTF-8""));
        }",No Smells
"@Test
    public void testInspect() throws Throwable {
        PodState podState = new PodState();
        podState.pod = new Pod();
        podState.pod.spec = new PodSpec();
        podState.pod.spec.containers = new ArrayList<>();
        Container container1 = new Container();
        container1.name = ""container1"";
        container1.image = ""test-image"";
        podState.pod.spec.containers.add(container1);
        podState.pod.metadata = new ObjectMeta();
        podState.pod.metadata.selfLink = ""/api/v1/namespaces/default/pods/test-pod"";
        podState.pod.metadata.name = ""test-pod"";
        podState.parentLink = kubernetesHostState.documentSelfLink;
        podState.kubernetesSelfLink = podState.pod.metadata.selfLink;
        podState = doPost(podState, PodFactoryService.SELF_LINK);

        Pod updatedPod = new Pod();
        updatedPod.metadata = new ObjectMeta();
        updatedPod.metadata.name = ""test-pod"";
        updatedPod.metadata.selfLink = ""/api/v1/namespaces/default/pods/test-pod"";
        updatedPod.spec = new PodSpec();
        updatedPod.spec.containers = new ArrayList<>();
        Container updatedContainer = new Container();
        updatedContainer.name = ""new-container1"";
        updatedContainer.image = ""new-test-image"";
        updatedPod.spec.containers.add(updatedContainer);

        service.inspectMap.put(podState.pod, updatedPod);

        provisioningTaskLink = createProvisioningTask();

        AdapterRequest request = new AdapterRequest();
        request.resourceReference = UriUtils.buildUri(host, podState.documentSelfLink);
        request.serviceTaskCallback = ServiceTaskCallback.create(provisioningTaskLink);
        request.operationTypeId = KubernetesOperationType.INSPECT.id;
        doOperation(KubernetesAdapterService.SELF_LINK, request);

        waitForPropertyValue(provisioningTaskLink, MockTaskState.class, ""taskInfo.stage"",
                TaskState.TaskStage.FINISHED);

        PodState patchedPod = getDocument(PodState.class, podState.documentSelfLink);

        assertEquals(podState.descriptionLink, patchedPod.descriptionLink);
        assertEquals(podState.compositeComponentLink, patchedPod.compositeComponentLink);
        assertEquals(podState.parentLink, patchedPod.parentLink);

        assertEquals(updatedContainer.name, patchedPod.pod.spec.containers.get(0).name);
        assertEquals(updatedContainer.image, patchedPod.pod.spec.containers.get(0).image);
    }",No Smells
"@Test
    public void testValidateServicesAreDeployedFirst() throws Throwable {
        String wordpressTemplate = CommonTestStateFactory
                .getFileContent(""WordPress_with_MySQL_kubernetes.yaml"");

        String compositeDescriptionLink = importTemplate(wordpressTemplate);

        CompositeDescription compositeDescription = getCompositeDescription(
                compositeDescriptionLink);

        CompositeComponent compositeComponent = new CompositeComponent();
        compositeComponent.name = compositeDescription.name + ""-mcm-102"";
        compositeComponent.compositeDescriptionLink = compositeDescription.documentSelfLink;
        compositeComponent.customProperties = new HashMap<>();
        compositeComponent.customProperties.put(CUSTOM_PROPERTY_HOST_LINK,
                kubernetesHostState.documentSelfLink);
        compositeComponent = doPost(compositeComponent, CompositeComponentFactoryService.SELF_LINK);

        addPodsAndReplicaSetsForWordpressApp(extractId(compositeComponent.documentSelfLink));

        provisioningTaskLink = createProvisioningTask();

        ApplicationRequest appRequest = createApplicationRequest(
                compositeComponent.documentSelfLink);

        doOperation(ManagementUriParts.ADAPTER_KUBERNETES_APPLICATION, appRequest);

        // wait for provisioning task stage to change to finish
        waitForPropertyValue(provisioningTaskLink, MockTaskState.class, ""taskInfo.stage"",
                TaskState.TaskStage.FINISHED);

        assertEquals(10, service.deployedElements.size());

        List<BaseKubernetesObject> kubernetesElements = new ArrayList<>();
        service.deployedElements.forEach(e -> kubernetesElements.add(e));

        // Assert that services are deployed first.
        assertEquals(KubernetesUtil.SERVICE_TYPE, kubernetesElements.get(4).kind);
        assertEquals(KubernetesUtil.SERVICE_TYPE, kubernetesElements.get(5).kind);

        // Assert that states are created and they have correct compositeComponentLink.
        CompositeComponent finalCompositeComponent = compositeComponent;

        List<String> resourceLinks = getDocumentLinksOfType(ServiceState.class);
        assertEquals(2, resourceLinks.size());
        resourceLinks.forEach(link -> doOperation(Operation.createGet(host, link)
                .setCompletion((o, ex) -> {
                    if (ex != null) {
                        host.failIteration(ex);
                    }",Eager Test + Mystery Guest + Resource Optimism
"@Test
    public void TestCorrectDateParse() {
        KubernetesContainerStateMapper.parseDate(""2017-01-09T10:43:32Z"");
    }",No Smells
"@Test
    public void TestCorrectEnvMap() {
        EnvVar e = new EnvVar();
        e.name = ""name"";
        e.value = ""val"";
        String env = KubernetesContainerStateMapper.makeEnv(e);
        Assert.assertEquals(e.name + ""="" + e.value, env);
    }",No Smells
"@Test
    public void TestCorrectParseMemM() {
        long r = KubernetesContainerStateMapper.parseMem(""4M"");
        Assert.assertEquals(4_000_000L, r);
    }",No Smells
"@Test
    public void TestCorrectParseMemT() {
        long r = KubernetesContainerStateMapper.parseMem(""4T"");
        Assert.assertEquals(4_000_000_000_000L, r);
    }",No Smells
"@Test
    public void TestGetIdWithoutPrefix() {
        String inID = ""some-random-id"";
        String id = KubernetesContainerStateMapper.getId(inID);
        Assert.assertEquals(inID, id);
    }",No Smells
"@Test
    public void TestGetPowerStateStopped() {
        ContainerStatus status = new ContainerStatus();
        status.state = new com.vmware.admiral.compute.kubernetes.entities.pods.ContainerState();
        status.state.terminated = new ContainerStateTerminated();
        PowerState state = KubernetesContainerStateMapper.getPowerState(status);
        Assert.assertEquals(PowerState.STOPPED, state);
    }",No Smells
"@Test
    public void TestInvalidParseCPU() {
        float r = KubernetesContainerStateMapper.parseCPU(""m933m"");
        Assert.assertEquals(0F, r, 1e-6F);
    }",No Smells
"@Test
    public void TestMapContainerWithNullInputContainer() {
        ContainerState outState = new ContainerState();
        ContainerStatus status = new ContainerStatus();
        status.containerID = ""docker://test-id"";
        // status.state = new ContainerState();
        KubernetesContainerStateMapper.mapContainer(outState, null, status);
        Assert.assertNull(outState.id);
        Assert.assertNull(outState.powerState);
    }",No Smells
"@Test
    public void TestParseMemWithEmptyString() {
        long r = KubernetesContainerStateMapper.parseMem("""");
        Assert.assertEquals(0L, r);
    }",No Smells
"@Test
    public void testCreateUser() throws Throwable {
        PKSRemoteClientService client = new PKSRemoteClientService(null, host);
        assertNotNull(client);

        PKSContext ctx = new PKSContext();
        ctx.pksAPIUri = URI.create(""http://some.host"");

        ServiceClient mockClient = mockClient(client);
        ArgumentCaptor<Operation> valueCapture = ArgumentCaptor.forClass(Operation.class);
        doNothing().when(mockClient).send(valueCapture.capture());

        // test casual exception
        DeferredResult<KubeConfig> result = client.createUser(null, null);
        try {
            result.toCompletionStage().toCompletableFuture().get();
            fail(""should not reach here"");
        }",Eager Test
"@Test
    public void testGetClusters() throws Throwable {
        PKSRemoteClientService client = new PKSRemoteClientService(null, host);
        assertNotNull(client);

        PKSContext ctx = new PKSContext();
        ctx.pksAPIUri = URI.create(""http://some.host"");

        ServiceClient mockClient = mockClient(client);
        ArgumentCaptor<Operation> valueCapture = ArgumentCaptor.forClass(Operation.class);
        doNothing().when(mockClient).send(valueCapture.capture());

        // test casual exception
        DeferredResult<List<PKSCluster>> result = client.getClusters(null);
        try {
            result.toCompletionStage().toCompletableFuture().get();
            fail(""should not reach here"");
        }",Eager Test
"@Test
    public void testGetPlans() throws Throwable {
        PKSRemoteClientService client = new PKSRemoteClientService(null, host);
        assertNotNull(client);

        PKSContext ctx = new PKSContext();
        ctx.pksAPIUri = URI.create(""http://some.host"");

        ServiceClient mockClient = mockClient(client);
        ArgumentCaptor<Operation> valueCapture = ArgumentCaptor.forClass(Operation.class);
        doNothing().when(mockClient).send(valueCapture.capture());

        // test casual exception
        DeferredResult<List<PKSPlan>> result = client.getPlans(null);
        try {
            result.toCompletionStage().toCompletableFuture().get();
            fail(""should not reach here"");
        }",Eager Test
"@Test
    public void testGetKubeConfigWithBearerToken() throws Throwable {
        String authCredentialsLink = createCredentials(AuthCredentialsType.Bearer, true)
                .documentSelfLink;
        String hostLink = createCompute(authCredentialsLink, true, true).documentSelfLink;

        URI serviceUri = UriUtils.buildUri(host, KubeConfigContentService.SELF_LINK,
                UriUtils.buildUriQuery(""hostLink"", hostLink));

        verifyOperation(Operation.createGet(serviceUri), o -> {
            assertEquals(""attachment; filename=\""kubeconfig\"""",
                    o.getResponseHeader(""Content-Disposition""));
            assertEquals(KUBE_CONFIG_YAML, o.getBody(String.class));
        }",No Smells
"@Test
    public void testGetKubeConfigWithCertificateAndKey() throws Throwable {
        assertTrue(UUID.randomUUID().toString().matches(""[-a-z0-9]+""));
        String authCredentialsLink = createCredentials(AuthCredentialsType.PublicKey, false)
                .documentSelfLink;
        String hostLink = createCompute(authCredentialsLink, true, false).documentSelfLink;

        URI serviceUri = UriUtils.buildUri(host, KubeConfigContentService.SELF_LINK,
                UriUtils.buildUriQuery(""hostLink"", hostLink));

        verifyOperation(Operation.createGet(serviceUri), o -> {
            assertEquals(""attachment; filename=\""kubeconfig\"""",
                    o.getResponseHeader(""Content-Disposition""));
        }",No Smells
"@Test
    public void testShouldFailWhenHostLinkParamIsMissing() throws Throwable {
        URI serviceUri = UriUtils.buildUri(host, KubeConfigContentService.SELF_LINK);
        try {
            doOperation(null, serviceUri, true, Action.GET);
            fail(""Operation should have failed: hostLink query param not set"");
        }",No Smells
"@Test
    public void testAddPKSClusterFail() {
        String endpointLink = createEndpoint().documentSelfLink;

        AddClusterRequest request = new AddClusterRequest();
        request.endpointLink = endpointLink;

        Operation o = Operation
                .createPost(host, PKSClusterConfigService.SELF_LINK)
                .setBodyNoCloning(request);
        FailureResponse failureResponse = sender.sendAndWaitFailure(o);

        assertNotNull(failureResponse);
        assertNotNull(failureResponse.failure);
    }",No Smells
"@Test
    public void testGetPKSCluster() {
        String endpoint = createEndpoint().documentSelfLink;
        List<PKSCluster> clusters = sendListRequest(endpoint,
                MockPKSAdapterService.CLUSTER_NAME_CREATE_SUCCESS, false);

        assertNotNull(clusters);
        assertEquals(1, clusters.size());

        clusters = sendListRequest(endpoint, ""non-existing-cluster"", true);
        assertNull(clusters);
    }",No Smells
"@Test
    public void testDuplicateRegistryInsideProjectShouldFail() throws Throwable {
        RegistryState registryState = new RegistryState();
        registryState.address = ""http://0.0.0.0"";
        registryState.name = ""TestRegistry"";
        registryState.tenantLinks = new ArrayList<>();
        registryState.tenantLinks.add(""test-project"");

        doPost(registryState, RegistryFactoryService.SELF_LINK);

        try {
            doPost(registryState, RegistryFactoryService.SELF_LINK);
            fail(""Should not be possible to add the same registry twice in the same scope"");
        }",No Smells
"@Test
    public void testSameRegistryTwoDifferentProjectsNotRemoveOldTenantLinkShouldFail() throws
            Throwable {
        RegistryState registryState = new RegistryState();
        registryState.address = ""http://0.0.0.0"";
        registryState.name = ""TestRegistry"";
        registryState.tenantLinks = new ArrayList<>();

        registryState.tenantLinks.add(""test-project1"");
        doPost(registryState, RegistryFactoryService.SELF_LINK);

        registryState.tenantLinks.add(""test-project2"");
        try {
            doPost(registryState, RegistryFactoryService.SELF_LINK);
            fail(""Should not be possible to add the same registry in two different projects"");
        }",No Smells
"@Test
    public void testSameRegistryTwoDifferentProjectsRemoveOldTenantLink() throws Throwable {
        RegistryState registryState = new RegistryState();
        registryState.address = ""http://0.0.0.0"";
        registryState.name = ""TestRegistry"";
        registryState.tenantLinks = new ArrayList<>();

        registryState.tenantLinks.add(""test-project1"");
        doPost(registryState, RegistryFactoryService.SELF_LINK);

        registryState.tenantLinks.remove(""test-project1"");
        registryState.tenantLinks.add(""test-project2"");

        doPost(registryState, RegistryFactoryService.SELF_LINK);
    }",No Smells
"@Test
    public void testV2ListImageTags() throws Throwable {
        URI v2RegistryStateUri = UriUtils.buildUri(host, v2RegistryStateLink);

        sendRegistryListTagsRequest(v2RegistryStateUri, ""v2registry.test/vmware/admiral"", (Operation op) -> {
            String[] tags = op.getBody(String[].class);
            assertNotNull(""result is null"", tags);
            assertArrayEquals(new String[] { ""7.1"", ""7.2"", ""7.3"", ""7.4"" }",No Smells
"@Test
    public void testDefaultProjectCreatedOnStartUp() throws Throwable {
        waitForServiceAvailability(ProjectService.DEFAULT_PROJECT_LINK);

        ProjectState project = getDocument(ProjectState.class,
                ProjectService.DEFAULT_PROJECT_LINK);

        assertNotNull(project);
        assertEquals(ProjectService.DEFAULT_PROJECT_ID, project.name);
        assertEquals(ProjectService.DEFAULT_PROJECT_ID, project.id);
    }",Mystery Guest + Resource Optimism
"@Test
    public void testImportContentWithProjectAndUsers() throws Throwable {
        AuthContentBody body = Utils.fromJson(authContent, AuthContentBody.class);
        loadAuthContent(body);

        List<String> projectLinks = getDocumentLinksOfType(ProjectState.class);
        projectLinks.remove(ProjectService.DEFAULT_PROJECT_LINK);

        assertEquals(body.projects.size(), projectLinks.size());

        List<String> projectToImportNames = body.projects.stream()
                .map(p -> p.name)
                .collect(Collectors.toList());

        for (String link : projectLinks) {
            ProjectState state = getDocument(ProjectState.class, link);
            assertTrue(projectToImportNames.contains(state.name));
        }",Eager Test + Mystery Guest + Resource Optimism
"@Test
    public void testGetPrincipal() {
        String principalId = ""connie@admiral.com"";
        DeferredResult<Principal> result = provider.getPrincipal(null, principalId);

        TestContext ctx = testCreate(1);
        result.whenComplete((p, ex) -> {
            if (ex != null) {
                ctx.failIteration(ex);
                return;
            }",No Smells
"@Test
    public void testGetPrincipalsOfTypeGroup() {
        String principalId = ""superusers@admiral.com"";
        DeferredResult<List<Principal>> result = provider.getPrincipals(null, principalId);

        TestContext ctx = testCreate(1);
        result.whenComplete((p, ex) -> {
            if (ex != null) {
                ctx.failIteration(ex);
                return;
            }",Eager Test
"@Test
    public void testGetPrincipalsOfTypeGroup() {
        String principalId = ""superusers@admiral.com"";
        DeferredResult<List<Principal>> result = provider.getPrincipals(null, principalId);

        TestContext ctx = testCreate(1);
        result.whenComplete((p, ex) -> {
            if (ex != null) {
                ctx.failIteration(ex);
                return;
            }",No Smells
"@Test
    public void testDeletePrincipalShouldDeleteUserState() throws Throwable {
        String fritzEmail = ""fritz@admiral.com"";
        String fritzSelfLink = LocalPrincipalFactoryService.SELF_LINK + ""/"" + encode(fritzEmail);

        doDelete(UriUtils.buildUri(host, fritzSelfLink), false);

        LocalPrincipalState state = getDocumentNoWait(LocalPrincipalState.class, fritzSelfLink);
        assertNull(state);

        UserState userState = getDocumentNoWait(UserState.class, buildUserServicePath(fritzEmail));
        assertNull(userState);

        ResourceGroupState resourceGroupState = getDocumentNoWait(ResourceGroupState.class,
                UriUtils.buildUriPath(ResourceGroupService.FACTORY_LINK, encode(fritzEmail)));
        assertNull(resourceGroupState);

        UserGroupState userGroupState = getDocumentNoWait(UserGroupState.class,
                UriUtils.buildUriPath(UserGroupService.FACTORY_LINK, encode(fritzEmail)));
        assertNull(userGroupState);

        RoleState roleState = getDocumentNoWait(RoleState.class,
                UriUtils.buildUriPath(RoleService.FACTORY_LINK, encode(fritzEmail)));
        assertNull(roleState);

    }",Mystery Guest + Resource Optimism
"@Test
    public void testUserSpecificResourceAreCreatedWhenUserIsCreated() throws Throwable {
        // Assert user specific UserGroup, ResourceGroup and Role are created.
        String fritzEmail = ""fritz@admiral.com"";
        String fritzSelfLink = LocalPrincipalFactoryService.SELF_LINK + ""/"" + encode(fritzEmail);

        LocalPrincipalState state = getDocumentNoWait(LocalPrincipalState.class, fritzSelfLink);
        assertNotNull(state);

        UserState userState = getDocumentNoWait(UserState.class, buildUserServicePath(fritzEmail));
        assertNotNull(userState);

        ResourceGroupState resourceGroupState = getDocumentNoWait(ResourceGroupState.class,
                UriUtils.buildUriPath(ResourceGroupService.FACTORY_LINK, encode(fritzEmail)));
        assertNotNull(resourceGroupState);

        UserGroupState userGroupState = getDocumentNoWait(UserGroupState.class,
                UriUtils.buildUriPath(UserGroupService.FACTORY_LINK, encode(fritzEmail)));
        assertNotNull(userGroupState);

        RoleState roleState = getDocumentNoWait(RoleState.class,
                UriUtils.buildUriPath(RoleService.FACTORY_LINK, encode(fritzEmail)));
        assertNotNull(roleState);
        assertEquals(userGroupState.documentSelfLink, roleState.userGroupLink);
        assertEquals(resourceGroupState.documentSelfLink, roleState.resourceGroupLink);
    }",Mystery Guest + Resource Optimism
